Whisk_Name,Whisk_Type,Whisk_Loc,Communal_Rating,Distiller_Score,URL
BRUICHLADDICH HB 90/27,Single Malt,"Islay, Scotland",4.75,nan,https://distiller.com/spirits/bruichladdich-hb-90-27
OLD PULTENEY 2006,Single Malt,"Highlands, Scotland",3.91,85,https://distiller.com/spirits/old-pulteney-2006
GLENGOYNE CASK STRENGTH BATCH NO. 003,Single Malt,"Highland, Scotland",3.88,nan,https://distiller.com/spirits/glengoyne-cask-strength-batch-no-003
LEDAIG 2005 HERMITAGE WOOD FINISH (GORDON & MACPHAIL) ,Single Malt,"Island, Scotland",4.05,nan,https://distiller.com/spirits/ledaig-2005-hermitage-wood-finish-gordon-macphail
THE GLENROTHES 2004,Single Malt,"Speyside, Scotland",3.73,86,https://distiller.com/spirits/the-glenrothes-2004
BRUICHLADDICH 1984/32 BOURBON: ALL IN,Single Malt,"Islay, Scotland",4.65,96,https://distiller.com/spirits/bruichladdich-1984-32-bourbon-all-in
ALLT A BHAINNE 1993 22 YEAR (THE EXCLUSIVE MALTS),Single Malt,"Speyside, Scotland",3.7,nan,https://distiller.com/spirits/allt-a-bhainne-1993-22-year-the-exclusive-malts
DALMORE VINTAGE 1998 18 YEAR,Single Malt,"Highlands, Scotland",3.31,nan,https://distiller.com/spirits/dalmore-vintage-1998-18-year
JURA TASTIVAL 2017,Single Malt,"Islands, Scotland",4.08,nan,https://distiller.com/spirits/jura-tastival-2017
FINLAGGAN SHERRY FINISH,Single Malt,"Islay, Scotland",3.95,nan,https://distiller.com/spirits/finlaggan-sherry-finish
GLENFARCLAS 15 YEAR 103° PROOF,Single Malt,"Highlands, Scotland",4.18,nan,https://distiller.com/spirits/glenfarclas-15-year-103-proof
TOMATIN 1988,Single Malt,"Highlands, Scotland",4.06,nan,https://distiller.com/spirits/tomatin-1988
GLENFIDDICH RARE COLLECTION VINTAGE 1978 CASK #28121,Single Malt,"Speyside, Scotland",4.7,95,https://distiller.com/spirits/glenfiddich-1978-rare-collection-cask
CAOL ILA UNPEATED 14 YEAR (2012 SPECIAL RELEASE),Single Malt,"Islay, Scotland",3.45,89,https://distiller.com/spirits/caol-ila-unpeated-14-year-2012-special-release
TULLIBARDINE 1993,Single Malt,"Highlands, Scotland",3.55,nan,https://distiller.com/spirits/tullibardine-1993
THE MACALLAN NO. 6 IN LALIQUE,Single Malt,"Highlands, Scotland",4.78,95,https://distiller.com/spirits/the-macallan-no-6-in-lalique
ANCNOC VINTAGE 1975,Single Malt,"Highlands, Scotland",4.3,94,https://distiller.com/spirits/ancnoc-1975
THE GLENROTHES 1992 (2ND EDITION),Single Malt,"Speyside, Scotland",4.08,92,https://distiller.com/spirits/the-glenrothes-1992-2nd-edition
GLENMORANGIE 10 YEAR (1990S BOTTLING),Single Malt,"Highlands, Scotland",3.56,nan,https://distiller.com/spirits/glenmorangie-10-year-1990s-bottling
"ARRAN QUARTER CASK, CASK STRENGTH",Single Malt,Scotland,3.94,nan,https://distiller.com/spirits/arran-quarter-cask-cask-strength
NC’NEAN ORGANIC SINGLE MALT,Single Malt,"Highlands, Scotland",3.54,nan,https://distiller.com/spirits/nc-nean-organic-single-malt
SEAWEED & AEONS & DIGGING & FIRE 10 YEAR OLD,Single Malt,"Islay, Scotland",4.06,nan,https://distiller.com/spirits/seaweed-aeons-digging-fire-10-year-old
BENROMACH CASK STRENGTH VINTAGE 2009 (BATCH 1),Single Malt,"Speyside, Scotland",3.92,nan,https://distiller.com/spirits/benromach-cask-strength-vintage-2009-batch-1
DALMORE REGALIS,Single Malt,Scotland,3.87,nan,https://distiller.com/spirits/dalmore-regalis
GLENFIDDICH SPECIAL RESERVE SINGLE MALT,Single Malt,Scotland,3.28,nan,https://distiller.com/spirits/glenfiddich-special-reserve-single-malt
ARRAN 21 YEAR (LIMITED EDITION),Single Malt,"Islands, Scotland",3.92,nan,https://distiller.com/spirits/arran-21-year-limited-edition
THE BALVENIE TUN 1509 BATCH 3,Single Malt,"Speyside, Scotland",4.33,nan,https://distiller.com/spirits/the-balvenie-tun-1509-batch-3
GLENFIDDICH CAORAN RESERVE 12 YEAR,Single Malt,"Speyside, Scotland",3.56,nan,https://distiller.com/spirits/glenfiddich-caoran-reserve-12-year
KING'S FALCON,Single Malt,"Speyside, Scotland",2.85,nan,https://distiller.com/spirits/king-s-falcon
KILCHOMAN PX SHERRY FINISH SINGLE CASK,Single Malt,"I slay, Scotland",3.89,nan,https://distiller.com/spirits/kilchoman-px-sherry-finish-single-cask
BALBLAIR 2004 1ST RELEASE,Single Malt,Scotland,4,nan,https://distiller.com/spirits/balblair-2004-1st-release
ROSEBANK 21 YEAR (2014 SPECIAL RELEASE),Single Malt,"Lowlands, Scotland",4.5,nan,https://distiller.com/spirits/rosebank-21-year-2014-special-release
PIITYVAICH 12 YR OLD,Single Malt,"Speyside , Scotland",3.61,nan,https://distiller.com/spirits/piityvaich-12-yr-old
GLENDRONACH GRANDEUR 24 YEAR BATCH 9,Single Malt,"Highlands, Scotland",4.47,nan,https://distiller.com/spirits/glendronach-grandeur-24-year-batch-9
GLEN KEITH 1995 21 YEAR (ALEXANDER MURRAY & CO.),Single Malt,"Speyside, Scotland",3.22,nan,https://distiller.com/spirits/glen-keith-1995-21-year-alexander-murray
THE BALVENIE TUN 1401 BATCH 5,Single Malt,"Speyside, Scotland",4.58,92,https://distiller.com/spirits/the-balvenie-tun-1401-batch-5
BALLANTINE'S GLENTAUCHERS 15 YEAR,Single Malt,"Speyside, Scotland",3.28,nan,https://distiller.com/spirits/ballantine-s-glentauchers-15-year
BENROMACH TRIPLE DISTILLED 2009,Single Malt,"Speyside, Scotland",3.19,86,https://distiller.com/spirits/benromach-triple-distilled-2009
SPRINGBANK BAROLO FINISH 9 YEAR,Single Malt,Scotland,3.97,nan,https://distiller.com/spirits/springbank-barolo-finish-9-year
GLEN GARIOCH 1998 WINE CASK MATURED,Single Malt,"Highlands, Scotland",3.97,nan,https://distiller.com/spirits/glen-garioch-1998-wine-cask-matured
BENRIACH 2000 OLOROSO SHERRY 12 YEAR,Single Malt,"Speyside, Scotland",3.69,nan,https://distiller.com/spirits/benriach-2000-oloroso-sherry-12-year
CAOL ILA 1995 DISTILLERS EDITION,Single Malt,"Islay, Scotland",4.42,nan,https://distiller.com/spirits/caol-ila-1995-distillers-edition
"TOMATIN CUATRO SERIES #2 ""MANZANILLA"" 12 YEAR",Single Malt,"Highlands, Scotland",3.51,nan,https://distiller.com/spirits/tomatin-cuatro-series-2-manzanilla-12-year
"TOMATIN CUATRO SERIES #1 ""FINO"" 12 YEAR",Single Malt,"Highlands, Scotland",3.63,nan,https://distiller.com/spirits/tomatin-cuatro-series-1-fino-12-year
THE DEVERON 10 YEAR,Single Malt,"Highlands, Scotland",2.64,nan,https://distiller.com/spirits/the-deveron-10-year
GLENMORANGIE SONNALTA PX,Single Malt,"Highland, Scotland",4.33,82,https://distiller.com/spirits/glenmorangie-sonnalta-px
ANCNOC VINTAGE 2001,Single Malt,"Highlands, Scotland",2.78,nan,https://distiller.com/spirits/ancnoc-2001-vintage
ABERLOUR 14 YEAR DOUBLE CASK MATURED,Single Malt,"Speyside, Scotland",3.81,nan,https://distiller.com/spirits/aberlour-14-year-double-cask-matured
ABERFELDY 18 YEAR FRENCH RED WINE CASK FINISH,Single Malt,"Highland, Scotland",4.59,89,https://distiller.com/spirits/aberfeldy-18-year-french-red-wine-cask-finish
THAT BOUTIQUE-Y WHISKY COMPANY INCHFAD,Single Malt,Scotland,3.06,nan,https://distiller.com/spirits/that-boutique-y-whisky-company-inchfad
BUNNAHABHAIN 2008 MANZANILLA CASK MATURED,Single Malt,"ISLAY, Scotland",4,nan,https://distiller.com/spirits/bunnahabhain-2008-manzanilla-cask-matured
SPEY RIVER BOURBON CASK FINISH,Single Malt,"Speyside, Scotland",3,nan,https://distiller.com/spirits/spey-river-bourbon-cask-finish
GLENCADAM RESERVA ANDALUCIA,Single Malt,"Highlands, Scotland",3.72,83,https://distiller.com/spirits/glencadam-reserva-andalucia
LAGAVULIN 12 YEAR BOTTLED 2010,Single Malt,"Islay, Scotland",4.5,nan,https://distiller.com/spirits/lagavulin-12-year-bottled-2010
THE BALVENIE THE EDGE OF BURNHEAD WOOD 19 YEAR,Single Malt,"Speyside, Scotland",4.44,92,https://distiller.com/spirits/the-balvenie-the-edge-of-burnhead-wood-19-year
LAPHROAIG 15,Single Malt,"Islay, Scotland",3.69,nan,https://distiller.com/spirits/laphroaig-15
MACDUFF 10 YEAR OLD (THAT BOUTIQUE-Y WHISKY COMPANY),Single Malt,"Highland, Scotland",3.25,nan,https://distiller.com/spirits/macduff-10-year-old-that-boutique-y-whisky-company
BENROMACH PEAT SMOKE 2009,Single Malt,"Speysife, Scotland",3.63,nan,https://distiller.com/spirits/benromach-peat-smoke-2009
SMOKEHEAD ROCK EDITION II,Single Malt,"Islay, Scotland",2.84,nan,https://distiller.com/spirits/smokehead-rock-edition-ii
TAMNAVULIN TEMPRANILLO CASK EDITION,Single Malt,"Speyside, Scotland",3.56,nan,https://distiller.com/spirits/tamnavulin-tempranillo-cask-edition
GLEN SCOTIA CAMPBELTOWN HARBOUR CLASSIC CAMPBELTOWN MALT,Single Malt,"Campbeltown , Scotland",4.13,nan,https://distiller.com/spirits/glen-scotia-campbeltown-harbour-classic-campbeltown-malt
GLENMORANGIE THE ACCORD,Single Malt,"Highlands, Scotland",4.05,nan,https://distiller.com/spirits/glenmorangie-the-accord
GLENROTHES 11 YEAR DISCOVERY (GORDON & MACPHAIL),Single Malt,"Speyside, Scotland",3.69,nan,https://distiller.com/spirits/glenrothes-11-year-discovery-gordon-macphail
BENRIACH PEATED CASK STRENGTH BATCH 2,Single Malt,"Speyside, Scotland",3.9,nan,https://distiller.com/spirits/benriach-peated-cask-strength-batch-2
LOCH LOMOND CLASSIC SINGLE MALT,Single Malt,Scotland,3.25,nan,https://distiller.com/spirits/loch-lomond-classic-single-malt
SHIELDAIG 21 YEAR SINGLE MALT WHISKY,Single Malt,"Speyside, Scotland",4.16,nan,https://distiller.com/spirits/shieldaig-21-year-single-malt-whisky
COMPASS BOX MYTHS & LEGENDS I,Single Malt,Scotland,4.16,nan,https://distiller.com/spirits/compass-box-myths-legends-i
GLEN MORAY FIRED OAK 10 YEAR,Single Malt,"Speyside, Scotland",3.47,nan,https://distiller.com/spirits/glen-moray-fired-oak-10-year
GLEN KIRK SPEYSIDE SINGLE MALT 8 YEAR,Single Malt,"Speyside, Scotland",3.44,nan,https://distiller.com/spirits/glen-kirk-speyside-single-malt-8-year
BUNNAHABHAIN 11 YEAR DISCOVERY (GORDON & MACPHAIL),Single Malt,"Islay, Scotland",3.84,nan,https://distiller.com/spirits/bunnahabhain-11-year-discovery-gordon-macphail
TOMATIN 12 YEAR OLD FRENCH OAK,Single Malt,"Highland, Scotland",3.69,nan,https://distiller.com/spirits/tomatin-12-year-old-french-oak
BUNNAHABHAIN 1990 26 YEAR (ALEXANDER MURRAY & CO.),Single Malt,"Islay, Scotland",4.34,nan,https://distiller.com/spirits/bunnahabhain-1990-26-year-alexander-murray-co
ISLE OF JURA 16 YEAR (DISCONTINUED),Single Malt,Scotland,3.22,nan,https://distiller.com/spirits/isle-of-jura-16-year-discontinued
ABERLOUR CASG ANNAMH BATCH #1,Single Malt,"Speyside, Scotland",4.25,nan,https://distiller.com/spirits/abelour-casg-annamh-batch-1
TRADER JOE’S HIGHLAND SINGLE MALT SCOTCH WHISKY - BOURBON CASK FINISH,Single Malt,"Highland, Scotland",3.31,nan,https://distiller.com/spirits/trader-joe-s-highland-single-malt-scotch-whisky-bourbon-cask-finish
CARDHU DISTILLERY EXCLUSIVE,Single Malt,"Speyside, Scotland",4.16,nan,https://distiller.com/spirits/cardhu-distillery-exclusive
BENRIACH QUARTER CASKS,Single Malt,"Speyside, Scotland",4,nan,https://distiller.com/spirits/benriach-quarter-casks
GLEN SCOTIA 16 YEAR,Single Malt,"Campbeltown, Scotland",4.02,nan,https://distiller.com/spirits/glen-scotia-16-year
EDRADOUR SHERRY CASK MATURED NATURAL CASK STRENGTH,Single Malt,"Highlands, Scotland",3.97,nan,https://distiller.com/spirits/edradour-sherry-cask-matured-natural-cask-strength
OLD PULTENEY 25 YEAR,Single Malt,"Highlands, Scotland",4.38,nan,https://distiller.com/spirits/old-pulteney-25-year
LINKWOOD 21 YEAR DISTILLERY LABELS (GORDON & MACPHAIL),Single Malt,"Speyside, Scotland",3.31,nan,https://distiller.com/spirits/linkwood-21-year-gordon-macphail
GLENGARRY SINGLE MALT 12 YEAR,Single Malt,"Highlands, Scotland",2.77,80,https://distiller.com/spirits/glengarry-single-malt-12-year
GLENMORANGIE 1970'S COLLECTION '77,Single Malt,"Highlands, Scotland",4.52,97,https://distiller.com/spirits/glenmorangie-1970-s-collection-77
OLD PULTENEY DUNCANSBY HEAD,Single Malt,"Highlands, Scotland",3.73,82,https://distiller.com/spirits/old-pulteney-duncansby-head
GLENCADAM 14 YEAR OLOROSO CASK FINISH,Single Malt,"Highlands, Scotland",3.92,86,https://distiller.com/spirits/glencadam-14-year-oloroso-cask-finish
TORABHAIG 2017 THE LEGACY SERIES,Single Malt,"Skye, Scotland",3.98,88,https://distiller.com/spirits/torabhaig-2017-the-legacy-series
DALWHINNIE DISTILLERS EDITION (2020 RELEASE),Single Malt,"Highlands, Scotland",3.83,nan,https://distiller.com/spirits/dalwhinnie-distillers-edition-2020-release
GLENGOYNE LEGACY SERIES: CHAPTER TWO 2020,Single Malt,"Highlands , Scotland",3.94,nan,https://distiller.com/spirits/glengoyne-legacy-series-chapter-two-2020
GLENALLACHIE 10 YEAR OLD CASK STRENGTH BATCH 4,Single Malt,"Speyside, Scotland",4.14,nan,https://distiller.com/spirits/glenallachie-10-year-old-cask-strength-batch-4
ARRAN 21 YEAR,Single Malt,"Islands, Scotland",4.13,nan,https://distiller.com/spirits/arran-21-year
JURA RED WINE CASK FINISH,Single Malt,"Islands, Scotland",3.73,nan,https://distiller.com/spirits/jura-red-wine-cask-finish
SPEY RIVER SHERRY CASK FINISH,Single Malt,Scotland,3.33,nan,https://distiller.com/spirits/spey-river-sherry-cask-finish
GLEN FOHDRY FION FRANGACH,Single Malt,"Spreyside, Scotland",2.63,nan,https://distiller.com/spirits/glen-fohdry-fion-frangach
GRANGESTONE,Single Malt,"Highland , Scotland",2.86,nan,https://distiller.com/spirits/grangestone
THE MACALLAN CONCEPT NUMBER 1,Single Malt,"Highlands, Scotland",3.19,nan,https://distiller.com/spirits/the-macallan-concept-number-1
DUN BHEAGAN,Single Malt,"Islay, Scotland",3.44,nan,https://distiller.com/spirits/dun-bheagan
POLLY'S CASKS DOUBLE BARREL AGED (ALEXANDER MURRAY & CO.),Single Malt,"Highlands, Scotland",3.5,nan,https://distiller.com/spirits/polly-s-casks-double-barrel-aged-alexander-murray-co
CRABBIE 8 YEAR HIGHLAND SINGLE MALT,Single Malt,"Highlands, Scotland",3,nan,https://distiller.com/spirits/crabbie-8-year
GLEN SCOTIA 2008 (RUBY PORT FINISH),Single Malt,"Campbeltown, Scotland",4.23,nan,https://distiller.com/spirits/glen-scotia-2008-ruby-port-finish
TOMATIN MOSCATEL WINE FINISH 15 YEAR,Single Malt,"Highlands, Scotland",4.23,nan,https://distiller.com/spirits/tomatin-moscatel-wine-finish-15-year
SCAPA 2005 12 YEAR DISTILLERY LABELS (GORDON & MACPHAIL),Single Malt,"Islands, Scotland",3.6,nan,https://distiller.com/spirits/scapa-2005-12-year-distillery-labels-gordon-macphail
CAOL ILA 2004 CONNOISSEURS CHOICE (GORDON & MACPHAIL),Single Malt,"Islay, Scotland",3.65,87,https://distiller.com/spirits/caol-ila-2004-connoisseurs-choice-gordon-macphail
BLAIR ATHOL 23 YEAR (2017 SPECIAL RELEASE),Single Malt,"Highlands, Scotland",3.94,91,https://distiller.com/spirits/blair-athol-23-year-2017-special-release
BENROMACH SASSICAIA WOOD FINISH 2009,Single Malt,"Speyside, Scotland",3.63,nan,https://distiller.com/spirits/benromach-sassicaia-wood-finish-2009
TOMATIN 8 YEAR,Single Malt,Scotland,2.65,nan,https://distiller.com/spirits/tomatin-8-year
BRUICHLADDICH SHERRY CLASSIC,Single Malt,"Islay, Scotland",4.35,nan,https://distiller.com/spirits/bruichladdich-sherry-classic
GLENGARRY SINGLE MALT,Single Malt,"Highlands , Scotland",3.45,82,https://distiller.com/spirits/glengarry-single-malt
GLENFIDDICH 125TH ANNIVERSARY EDITION,Single Malt,"Speyside, Scotland",4.35,nan,https://distiller.com/spirits/glenfiddich-125th-anniversary-edition
GLENLOSSIE 10 YEAR FLORA & FAUNA,Single Malt,"Speyside, Scotland",3.15,78,https://distiller.com/spirits/glenlossie-10-year-flora-fauna
TULLIBARDINE AGED OAK EDITION,Single Malt,"Highlands, Scotland",3.51,88,https://distiller.com/spirits/tullibardine-aged-oak-edition
AUCHROISK 20 YEAR,Single Malt,"Highlands, Scotland",4.38,93,https://distiller.com/spirits/auchroisk-20-year
TAMDHU BATCH STRENGTH BATCH 005,Single Malt,"Speyside, Scotland",3.93,nan,https://distiller.com/spirits/tamdhu-batch-strength-batch-005
LAGAVULIN ISLAY SINGLE MALT SCOTCH WHISKY,Single Malt,"Islay, Scotland",4,nan,https://distiller.com/spirits/lagavulin-islay-single-malt-scotch-whisky
TOMINTOUL 15 LIMITED EDITION PORTWOOD FINISH,Single Malt,"Speyside, Scotland",4.02,nan,https://distiller.com/spirits/tomintoul-15-limited-edition-portwood-finish
GLENDRONACH FORGUE 10 YEAR,Single Malt,"Highland, Scotland",3.63,nan,https://distiller.com/spirits/glendronach-forgue-10-year
GLENDRONACH MASTER VINTAGE 1993 25 YEAR,Single Malt,"Highlands, Scotland",4.41,92,https://distiller.com/spirits/glendronach-master-vintage-1993-25-year
DALMORE DOMINIUM,Single Malt,"Highland, Scotland",4.11,nan,https://distiller.com/spirits/dalmore-dominium
TAMDHU AMBAR,Single Malt,"Speyside, Scotland",3.5,nan,https://distiller.com/spirits/tamdhu-ambar
EDRADOUR THE DISTILLERY EDITION AGED 10 YEARS,Single Malt,"Highlands, Scotland",3.98,nan,https://distiller.com/spirits/edradour-the-distillery-edition-aged-10-years
TOBERMORY 21 YEAR MANZANILLA CASK FINISH,Single Malt,"Islands, Scotland",4.36,nan,https://distiller.com/spirits/tobermory-21-year-manzanilla-finish
GLENLOSSIE 1997 19 YEAR CASK STRENGTH (ALEXANDER MURRAY & CO.),Single Malt,"Speyside , Scotland",3.59,nan,https://distiller.com/spirits/glenlossie-1997-19-year-cask-strength-alexander-murray-co
GLENGLASSAUGH PORT WOOD FINISH,Single Malt,"Highland, Scotland",3.84,81,https://distiller.com/spirits/glenglassaugh-port-wood-finish
BENROMACH CHATEAU CISSAC WOOD FINISH 2009,Single Malt,"Speyside, Scotland",3.59,nan,https://distiller.com/spirits/benromach-chateau-cissac-wood-finish-2009
GLENKINCHIE 24 YEAR 1991 (2016 SPECIAL RELEASE),Single Malt,"Lowlands, Scotland",4.11,95,https://distiller.com/spirits/glenkinchie-24-year-1991-2016-special-release
GLENROTHES 8 YEAR THE MACPHAIL'S COLLECTION (GORDON & MACPHAIL),Single Malt,"Speyside, Scotland",3.02,nan,https://distiller.com/spirits/glenrothes-8-year-gordon-macphail
TOMATIN 9 YEAR 2007 CARIBBEAN RUM CASK,Single Malt,"Highlands, Scotland",3.66,nan,https://distiller.com/spirits/tomatin-9-year-2007-caribbean-rum-cask
GLENFIDDICH 25 YEAR RARE OAK,Single Malt,"Speyside, Scotland",4.25,nan,https://distiller.com/spirits/glenfiddich-25-year-rare-oak
LAGAVULIN JAZZ FESTIVAL 2016,Single Malt,"Islay, Scotland",3.69,nan,https://distiller.com/spirits/lagavulin-jazz-festival-2016
OLD PULTENEY CLIPPER COMMEMORATIVE,Single Malt,"HIghlands, Scotland",3.22,84,https://distiller.com/spirits/old-pulteney-clipper-commemorative
ABERLOUR CASG ANNAMH (BATCH 4),Single Malt,"Speyside, Scotland",3.91,nan,https://distiller.com/spirits/aberlour-casg-annamh-batch-4
GLENALLACHIE 10 YEAR CASK STRENGTH BATCH 3,Single Malt,"Speyside , Scotland",4.1,nan,https://distiller.com/spirits/glenallachie-cask-strength-batch-3-10-year
ARDBEG 10 YR CASK STRENGTH,Single Malt,"Islay, Scotland",3.87,nan,https://distiller.com/spirits/ardbeg-10-yr-cask-strength
THE GLENLIVET TRIPLE CASK MATURED WHITE OAK RESERVE,Single Malt,Scotland,3.28,nan,https://distiller.com/spirits/the-glenlivet-triple-cask-matured-white-oak-reserve
BEN NEVIS MCDONALD’S TRADITIONAL,Single Malt,"Highland , Scotland",3.78,nan,https://distiller.com/spirits/ben-nevis-mcdonald-s-traditional
CRAGGANMORE 12 YEAR (2019 SPECIAL RELEASE),Single Malt,"Speyside, Scotland",3.72,nan,https://distiller.com/spirits/cragganmore-12-year-2019-special-release
WOLFBURN SINGLE MALT,Single Malt,"Highlands, Scotland",2.92,nan,https://distiller.com/spirits/wolfburn-single-malt
SPEYBURN COMPANION CASK,Single Malt,"Speyside, Scotland",3.74,nan,https://distiller.com/spirits/speyburn-companion-cask
ABERFELDY 16 YEAR MADEIRA CASK FINISH,Single Malt,"Highlands, Scotland",4.15,nan,https://distiller.com/spirits/aberfeldy-16-year-madeira-cask-finish
GLENTURRET PEATED,Single Malt,"Highlands, Scotland",3.91,nan,https://distiller.com/spirits/glenturret-peated
BALBLAIR 2000 2ND RELEASE,Single Malt,"Highlands, Scotland",4.26,nan,https://distiller.com/spirits/balblair-2000-2nd-release
SPRINGBANK 16 YEAR LOCAL BARLEY,Single Malt,"Campbeltown, Scotland",4.47,nan,https://distiller.com/spirits/springbank-16-year-local-barley
GLEN TURNER SINGLE MALT 12 YEAR,Single Malt,Scotland,2.86,nan,https://distiller.com/spirits/glen-turner-single-malt-12-year
TOMINTOUL 12 YEAR PORTWOOD FINISH,Single Malt,"Speyside, Scotland",3.26,nan,https://distiller.com/spirits/tomintoul-12-year-portwood-finish
BENRIACH CASK STRENGTH BATCH 1,Single Malt,"Speyside, Scotland",4.11,nan,https://distiller.com/spirits/benriach-cask-strength-batch-1
THE MACALLAN ELEGANCIA 12 YEAR,Single Malt,"Highlands, Scotland",3.99,nan,https://distiller.com/spirits/the-macallan-elegancia-12-year
AINSLEY BRAE SHERRY CASK FINISH,Single Malt,"Highlands, Scotland",3.07,nan,https://distiller.com/spirits/ainsley-brae-sherry-cask-finish
THE GLENROTHES 1985 2ND EDITION,Single Malt,"Speyside, Scotland",4.68,93,https://distiller.com/spirits/the-glenrothes-1985
BENRIACH HORIZONS 12 YEAR,Single Malt,"Speyside, Scotland",3.18,84,https://distiller.com/spirits/benriach-horizons-12-year
TAMNAVULIN RED WINE CASK,Single Malt,"Speyside, Scotland",3.13,nan,https://distiller.com/spirits/tamnavulin-red-wine-cask
AUCHENTOSHAN AMERICAN OAK SMOOTH & VIBRANT,Single Malt,Scotland,3.55,nan,https://distiller.com/spirits/auchentoshan-american-oak-smooth-vibrant
CHIVAS REGAL DISTILLERY COLLECTION STRATHISLA 12 YEAR,Single Malt,"Speyside, Scotland",3.52,nan,https://distiller.com/spirits/chivas-regal-distillery-collection-strathisla-12-year
GLENALLACHIE 12 YEAR PEDRO XIMENEZ SHERRY WOOD FINISH,Single Malt,"Speyside, Scotland",3.28,86,https://distiller.com/spirits/glenallachie-12-year-pedro-ximenez-sherry-wood-finish
THE BALVENIE TUN 1509 BATCH 5,Single Malt,"Speyside, Scotland",4.78,nan,https://distiller.com/spirits/the-balvenie-tun-1509-batch-5
1770 GLASGOW SINGLE MALT 2019 RELEASE,Single Malt,"Lowlands, Scotland",3.55,nan,https://distiller.com/spirits/1770-glasgow-single-malt-2019-release
EDRADOUR 2008 10 UN-CHILLFILTERED COLLECTION (SIGNATORY),Single Malt,"Highlands, Scotland",4.37,nan,https://distiller.com/spirits/edradour-2008-10-un-chillfiltered-collection-signatory
ABERLOUR TRIPLE CASK,Single Malt,"Highlands, Scotland",3.55,nan,https://distiller.com/spirits/aberlour-triple-cask
GLENGOYNE CASK STRENGTH BATCH NO. 004,Single Malt,"Highlands, Scotland",3.8,nan,https://distiller.com/spirits/glengoyne-cask-strength-batch-4
DALWHINNIE LIZZIE’S DRAM,Single Malt,"Highland, Scotland",3.84,nan,https://distiller.com/spirits/dalwhinnie-lizzie-s-dram
DEANSTON 15 YEAR ORGANIC,Single Malt,"Highlands, Scotland",3.38,nan,https://distiller.com/spirits/deanston-15-year-organic
ARRAN BRODICK BAY 20 YEAR,Single Malt,"Islands, Scotland",4.11,nan,https://distiller.com/spirits/arran-brodick-bay-20-year
OBAN LIMITED EDITION DISTILLERY ONLY BOTTLING,Single Malt,"Highlands, Scotland",3.98,nan,https://distiller.com/spirits/oban-limited-edition-distillery-only-bottling
KININVIE 23 YEAR,Single Malt,"Speyside, Scotland",3.55,nan,https://distiller.com/spirits/kininvie-23-year
LOCH LOMOND SIGNATURE,Single Malt,"HIghlands, Scotland",3.42,nan,https://distiller.com/spirits/loch-lomond-signature
ARRAN CASK STRENGTH 12 YEAR (BATCH 5),Single Malt,Scotland,3.7,nan,https://distiller.com/spirits/arran-cask-strength-12-year-batch-5
GLENFIDDICH CASK OF DREAMS 2012 CANADIAN EDITION,Single Malt,"Speyside, Scotland",3.67,86,https://distiller.com/spirits/glenfiddich-cask-of-dreams-2012-canadian-edition
THE MACALLAN FINE OAK 30 YEAR,Single Malt,"Highlands, Scotland",4.83,nan,https://distiller.com/spirits/the-macallan-fine-oak-30-year
HAZELBURN 8 YEAR,Single Malt,"Campbeltown, Scotland",3.73,88,https://distiller.com/spirits/hazelburn-8-year
BRUICHLADDICH BLACK ART 1994 8.1 EDITION 26 YEAR,Single Malt,"Islay, Scotland",4.62,94,https://distiller.com/spirits/bruichladdich-black-art-1994-8-1-edition-26-year
TULLIBARDINE 15 YEAR,Single Malt,"Highlands, Scotland",3.7,nan,https://distiller.com/spirits/tullibardine-15-year
GLENGOYNE 9 YEAR OLD (THAT BOUTIQUE-Y WHISKY COMPANY),Single Malt,"Highlands, Scotland",2.43,nan,https://distiller.com/spirits/glengoyne-9-year-old-that-boutique-y-whisky-company
ABERLOUR CASG ANNAMH (BATCH 3),Single Malt,"Speyside, Scotland",4.04,nan,https://distiller.com/spirits/aberlour-casg-annamh-batch-3
SPEYBURN SPEYSIDE SINGLE MALT,Single Malt,"Speyside, Scotland",3.35,nan,https://distiller.com/spirits/speyburn-speyside-single-malt
THE BALVENIE A DAY OF DARK BARLEY 26 YEAR,Single Malt,"Speyside, Scotland",4.12,91,https://distiller.com/spirits/the-balvenie-a-day-of-dark-barley-26-year
JURA TIDE 21 YEAR,Single Malt,"Islands, Scotland",3.92,nan,https://distiller.com/spirits/jura-tide-21-year
BALBLAIR 18 YEAR,Single Malt,"Highlands, Scotland",4.08,91,https://distiller.com/spirits/balblair-18-year
BON ACCORD HIGHLAND SINGLE MALT (ALEXANDER MURRAY & CO.),Single Malt,"Highlands, Scotland",3.25,nan,https://distiller.com/spirits/bon-accord-highland-single-malt-alexander-murray-co
DALMORE 1999 15 YEAR (ALEXANDER MURRAY & CO.),Single Malt,"Highlands, Scotland",3.75,nan,https://distiller.com/spirits/dalmore-1999-15-year-alexander-murray-co
THE SINGLETON OF DUFFTOWN SPEY CASCADE,Single Malt,"Speyside, Scotland",3.13,nan,https://distiller.com/spirits/the-singleton-of-dufftown-spey-cascade
TRADER JOE’S SPEYSIDE SINGLE MALT SCOTCH WHISKY,Single Malt,"Speyside, Scotland",3.13,nan,https://distiller.com/spirits/trader-joe-s-speyside-single-malt-scotch-whisky
